Country,GDP,Population,Continent,Life Expectancy
Lebanon,4891.00,6825442.00,Asia,78.93
Liberia,583.27,5057677.00,Africa,64.10
Libya,3699.23,6871287.00,Africa,72.91
St. Lucia,9276.12,183629.00,North America,76.20
Latin North America & Caribbean,7417.25,652276325.00,North America,75.60
Least developed countries: UN classification,1068.80,1057438163.00,,65.35
Low income,821.86,665149035.00,,63.73
Liechtenstein,,38137.00,Europe,83.04
Sri Lanka,3682.04,21919000.00,Asia,76.98
Lower middle income,2200.40,3330652547.00,,69.09
Low & middle income,4759.24,6509474374.00,,71.21
Lesotho,861.01,2142252.00,Africa,54.33
Late-demographic dividend,9758.45,2307887395.00,,76.43
Lithuania,19997.59,2794700.00,,76.13
Luxembourg,115873.60,632275.00,Europe,82.45
Latvia,17619.95,1901548.00,Europe,75.24
"Macao SAR, China",,649342.00,Asia,84.24
St. Martin (French part),,38659.00,Europe,79.97
Morocco,3009.25,36910558.00,Africa,76.68
Monaco,,39244.00,Europe,
Moldova,4551.13,2617820.00,Europe,71.90
Madagascar,495.49,27691019.00,Africa,67.04
Maldives,7455.86,540542.00,Asia,78.92
Middle East & North Africa,6669.90,464554123.00,Asia,74.27
Mexico,8346.70,128932753.00,North America,75.05
Marshall Islands,,59194.00,Oceania,
Middle income,5207.29,5844325339.00,,72.05
North Macedonia,5888.00,2083380.00,Europe,75.80
Mali,858.92,20250834.00,Africa,59.31
Malta,27884.64,525285.00,Africa,82.60
Myanmar,1400.22,54409794.00,Asia,67.13
Middle East & North Africa (excluding high income),3066.23,396147843.00,Asia,73.78
Montenegro,7686.09,621718.00,Europe,76.88
Mongolia,4007.31,3278292.00,Asia,69.87
Northern Mariana Islands,,57557.00,,
Mozambique,448.61,31255435.00,Africa,60.85
Mauritania,1672.92,4649660.00,Africa,64.93
Mauritius,8622.68,1265740.00,Africa,74.24
Malawi,625.29,19129955.00,Africa,64.26
Malaysia,10401.79,32365998.00,Asia,76.16
North America,61453.13,367553264.00,North America,79.12
Namibia,4211.05,2540916.00,Africa,63.71
New Caledonia,,271960.00,Oceania,77.63
Niger,565.06,24206636.00,Africa,62.42
Nigeria,2097.09,206139587.00,Africa,54.69
Nicaragua,1905.26,6624554.00,Africa,74.49
Netherlands,52304.06,17441139.00,Europe,82.01
Norway,67294.48,5379475.00,Europe,82.91
Nepal,1155.14,29136808.00,Asia,70.78
Nauru,,10834.00,Oceania,
New Zealand,41791.79,5084300.00,Oceania,81.71
OECD members,37975.91,1370858752.00,,80.21
Oman,,5106622.00,Asia,77.86
Other small states,11821.75,31941786.00,,68.82
Pakistan,1193.73,220892331.00,Asia,67.27
Panama,12269.05,4314768.00,North America,78.51
Peru,6126.87,32971846.00,South America,76.74
Philippines,3298.83,109581085.00,Asia,71.23
Palau,,18092.00,Oceania,
Papua New Guinea,2636.80,8947027.00,Oceania,64.50
Poland,15656.18,37950802.00,Europe,77.86
Pre-demographic dividend,1342.48,970795671.00,,61.18
Puerto Rico,32290.92,3194034.00,North America,79.93
"Korea, Dem. People's Rep.",,25778815.00,Asia,72.27
Portugal,22439.88,10305564.00,Europe,80.68
Paraguay,4949.75,7132530.00,South America,74.25
West Bank and Gaza,3239.73,4803269.00,Asia,74.05
Pacific island small states,3626.29,2528958.00,,70.08
Post-demographic dividend,44217.90,1115116448.00,,80.79
French Polynesia,,280904.00,Oceania,77.66
Qatar,50805.46,2881060.00,Asia,80.23
Romania,12896.09,19286123.00,Europe,75.46
Russian Federation,10126.72,144104080.00,Asia,73.08
Rwanda,797.86,12952209.00,Africa,69.02
South Asia,1804.92,1856882402.00,,69.64
Saudi Arabia,20110.32,34813867.00,Asia,75.13
Sudan,595.47,43849269.00,Africa,65.31
Senegal,1487.76,16743930.00,Africa,67.94
Singapore,59797.75,5685807.00,Asia,83.50
Solomon Islands,2258.40,686878.00,Oceania,73.00
Sierra Leone,484.52,7976985.00,Africa,54.70
El Salvador,3798.64,6486201.00,Africa,73.32
San Marino,,33938.00,Europe,
Somalia,309.42,15893219.00,Africa,57.40
Serbia,7666.24,6908224.00,Europe,75.69
Sub-Saharan Africa (excluding high income),1482.91,1135948313.00,Africa,61.63
South Sudan,,11193729.00,Africa,57.85
Sub-Saharan Africa,1483.77,1136046775.00,Africa,61.63
Small states,10864.01,41913035.00,,69.77
Sao Tome and Principe,2157.84,219161.00,Africa,70.39
Suriname,6491.14,586634.00,South America,71.68
Slovak Republic,19156.89,5458827.00,Asia,77.47
Slovenia,25179.67,2100126.00,Asia,81.28
Sweden,51925.71,10353442.00,Europe,82.96
Eswatini,3415.46,1160164.00,Africa,60.19
Sint Maarten (Dutch part),,40812.00,North America,
Seychelles,11425.09,98462.00,Africa,73.94
Syrian Arab Republic,,17500657.00,Asia,72.70
Turks and Caicos Islands,23879.93,38718.00,Asia,
Chad,614.47,16425859.00,Africa,54.24
East Asia & Pacific (IDA & IBRD countries),8378.63,2079198305.00,Asia,75.44
Europe & Central Asia (IDA & IBRD countries),8368.48,462247461.00,Europe,74.30
Togo,914.95,8278737.00,Africa,61.04
Thailand,7189.04,69799978.00,Asia,77.15
Tajikistan,859.14,9537642.00,Asia,71.10
Turkmenistan,,6031187.00,Asia,68.19
Latin North America & the Caribbean (IDA & IBRD countries),7244.56,636492840.00,,75.52
Timor-Leste,1381.18,1318442.00,Asia,69.50
