Country,GDP,Population,Continent,LifeExpectancy
Late-demographic dividend,9758.45,2307887395,,76.43
Lithuania,19997.59,2794700,,76.13
Luxembourg,115873.6,632275,Europe,82.45
Latvia,17619.95,1901548,Europe,75.24
"Macao SAR, China",,649342,Asia,84.24
St. Martin (French part),,38659,Europe,79.97
Morocco,3009.25,36910558,Africa,76.68
Monaco,,39244,Europe,
Moldova,4551.13,2617820,Europe,71.9
Madagascar,495.49,27691019,Africa,67.04
Maldives,7455.86,540542,Asia,78.92
Middle East & North Africa,6669.9,464554123,Asia,74.27
Mexico,8346.7,128932753,North America,75.05
Marshall Islands,,59194,Oceania,
Middle income,5207.29,5844325339,,72.05
North Macedonia,5888,2083380,Europe,75.8
Mali,858.92,20250834,Africa,59.31
Malta,27884.64,525285,Africa,82.6
Myanmar,1400.22,54409794,Asia,67.13
Middle East & North Africa (excluding high income),3066.23,396147843,Asia,73.78
Montenegro,7686.09,621718,Europe,76.88
Mongolia,4007.31,3278292,Asia,69.87
Northern Mariana Islands,,57557,,
Mozambique,448.61,31255435,Africa,60.85
Mauritania,1672.92,4649660,Africa,64.93
Mauritius,8622.68,1265740,Africa,74.24
Malawi,625.29,19129955,Africa,64.26
Malaysia,10401.79,32365998,Asia,76.16
North America,61453.13,367553264,North America,79.12
Namibia,4211.05,2540916,Africa,63.71
New Caledonia,,271960,Oceania,77.63
Niger,565.06,24206636,Africa,62.42
Nigeria,2097.09,206139587,Africa,54.69
Nicaragua,1905.26,6624554,Africa,74.49
Netherlands,52304.06,17441139,Europe,82.01
Norway,67294.48,5379475,Europe,82.91
Nepal,1155.14,29136808,Asia,70.78
Nauru,,10834,Oceania,
New Zealand,41791.79,5084300,Oceania,81.71
OECD members,37975.91,1370858752,,80.21
Oman,,5106622,Asia,77.86
Other small states,11821.75,31941786,,68.82
Pakistan,1193.73,220892331,Asia,67.27
Panama,12269.05,4314768,North America,78.51
Peru,6126.87,32971846,South America,76.74
Philippines,3298.83,109581085,Asia,71.23
Palau,,18092,Oceania,
Papua New Guinea,2636.8,8947027,Oceania,64.5
Poland,15656.18,37950802,Europe,77.86
Pre-demographic dividend,1342.48,970795671,,61.18
Puerto Rico,32290.92,3194034,North America,79.93
"Korea, Dem. People's Rep.",,25778815,Asia,72.27
Portugal,22439.88,10305564,Europe,80.68
Paraguay,4949.75,7132530,South America,74.25
West Bank and Gaza,3239.73,4803269,Asia,74.05
Pacific island small states,3626.29,2528958,,70.08
Post-demographic dividend,44217.9,1115116448,,80.79
French Polynesia,,280904,Oceania,77.66
Qatar,50805.46,2881060,Asia,80.23
Romania,12896.09,19286123,Europe,75.46
Russian Federation,10126.72,144104080,Asia,73.08
Rwanda,797.86,12952209,Africa,69.02
South Asia,1804.92,1856882402,,69.64
Saudi Arabia,20110.32,34813867,Asia,75.13
Sudan,595.47,43849269,Africa,65.31
Senegal,1487.76,16743930,Africa,67.94
Singapore,59797.75,5685807,Asia,83.5
Solomon Islands,2258.4,686878,Oceania,73
Sierra Leone,484.52,7976985,Africa,54.7
El Salvador,3798.64,6486201,Africa,73.32
San Marino,,33938,Europe,
Somalia,309.42,15893219,Africa,57.4
Serbia,7666.24,6908224,Europe,75.69
Sub-Saharan Africa (excluding high income),1482.91,1135948313,Africa,61.63
South Sudan,,11193729,Africa,57.85
Sub-Saharan Africa,1483.77,1136046775,Africa,61.63
Small states,10864.01,41913035,,69.77
